Running on device: cuda, Parallel training disabled
Loading dynamics config from config/dynamics_configs/full_config.json
------------------------------------------------------------
DYNAMICS CONFIGURATION:
------------------------------------------------------------
dynamics: FullDynamics
T: 1.0
N: 144
dim: 3
dim_W: 2
y0: [100.0, 80.0, 0.0]
mu_P: 0.0
mu_D: 0.0
time_dep_vol: True
use_exact: True
low_vol: True
sigma_P0: 10
sigma_P1: 20
alpha_P: 120.0
beta_P: 40.0
sigma_D0: 30.0
sigma_D1: 50.0
alpha_D: 1600.0
beta_D: 900.0
rho: -0.6
psi: 5.0
gamma: 0.05
nu: 0.042
eta: 10
smooth_control: True
eps: 0.5
schedule_epsilon: True
eps_decay_factor: 0.95
eps_update_every: 1000
analytical_known: True
dt: 0.006944444444444444
------------------------------------------------------------
Attempting to load model from saved_models/4_naislstm_GELU
No model checkpoint file found in saved_models/4_naislstm_GELU
    Expected files: model_best.pth or model_latest.pth
Starting training from scratch.
Saving configuration files...
Configuration saved to saved_models/4_naislstm_GELU
Training started at 2025-07-03 02:57:30
Logging training to saved_models/4_naislstm_GELU/training.log
   Epoch |      Y val |      q val | Total loss |     Y loss |    T. loss |   T.G. loss |   pinn loss |   cost loss |         LR |        Eps |  Memory [MB] | Time [s] |        ETA | Status              
    3300 |   5.37e+05 |   2.98e+03 |  -6.33e+07 |   2.79e+04 |   3.51e+05 |    5.46e+03 |    8.52e+04 |   -6.38e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    79.68 |  2838m 11s | Model saved (best)  
    3350 |   5.37e+05 |   2.93e+03 |  -6.31e+07 |   2.84e+04 |   3.53e+05 |    5.50e+03 |    8.66e+04 |   -6.36e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    87.72 |  2836m 33s | Model saved         
    3400 |   5.29e+05 |   2.87e+03 |  -6.34e+07 |   2.82e+04 |   3.44e+05 |    5.37e+03 |    8.45e+04 |   -6.39e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    80.23 |  2831m 23s | Model saved (best)  
    3450 |   5.32e+05 |   2.84e+03 |  -6.32e+07 |   2.85e+04 |   3.45e+05 |    5.41e+03 |    8.54e+04 |   -6.37e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    87.36 |  2829m 39s | Model saved         
    3500 |   5.20e+05 |   2.73e+03 |  -6.35e+07 |   2.79e+04 |   3.33e+05 |    5.26e+03 |    8.42e+04 |   -6.40e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    79.47 |  2824m 18s | Model saved (best)  
    3550 |   5.31e+05 |   2.81e+03 |  -6.32e+07 |   2.82e+04 |   3.41e+05 |    5.35e+03 |    8.51e+04 |   -6.37e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    87.80 |  2822m 50s | Model saved         
    3600 |   5.12e+05 |   2.63e+03 |  -6.36e+07 |   2.81e+04 |   3.26e+05 |    5.17e+03 |    8.51e+04 |   -6.40e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    80.29 |  2818m 01s | Model saved (best)  
    3650 |   5.18e+05 |   2.60e+03 |  -6.34e+07 |   2.80e+04 |   3.29e+05 |    5.21e+03 |    8.66e+04 |   -6.38e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    88.29 |  2816m 49s | Model saved         
    3700 |   5.05e+05 |   2.52e+03 |  -6.37e+07 |   2.83e+04 |   3.18e+05 |    5.07e+03 |    8.52e+04 |   -6.41e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    79.70 |  2811m 53s | Model saved (best)  
    3750 |   5.15e+05 |   2.53e+03 |  -6.35e+07 |   2.81e+04 |   3.24e+05 |    5.14e+03 |    8.61e+04 |   -6.39e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    87.44 |  2810m 22s | Model saved         
