Training started at 2025-05-29 14:25:59
Logging training to saved/almgren_NAISnet_Sine\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | NAISnet                   |
| Depth                     | 9                         |
| Width                     | 256                       |
| Activation                | Sine                      |
| T                         | 1.0                       |
| N                         | 200                       |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
    3950 |     5.44e-05 |     4.04e-05 |     4.94e-06 |     9.04e-06 |   1.34e-04 |        27.07 |     2.70 |   1m 02s | Model saved (best)  
    4000 |     1.07e-04 |     8.40e-05 |     8.01e-06 |     1.47e-05 |   1.34e-04 |        27.07 |     2.42 |      59s | Model saved         
    4050 |     8.50e-05 |     6.21e-05 |     9.73e-06 |     1.32e-05 |   1.34e-04 |        27.07 |     2.62 |      56s | Model saved         
    4100 |     5.11e-05 |     3.62e-05 |     5.53e-06 |     9.35e-06 |   1.34e-04 |        27.07 |     2.57 |      52s | Model saved (best)  
    4150 |     4.34e-05 |     3.33e-05 |     3.45e-06 |     6.74e-06 |   1.34e-04 |        27.07 |     2.71 |      49s | Model saved (best)  
    4200 |     5.42e-05 |     3.89e-05 |     6.10e-06 |     9.29e-06 |   1.34e-04 |        27.07 |     2.46 |      46s | Model saved         
    4250 |     6.01e-05 |     4.72e-05 |     4.54e-06 |     8.43e-06 |   1.34e-04 |        27.07 |     2.63 |      43s | Model saved         
    4300 |     5.44e-05 |     4.39e-05 |     3.90e-06 |     6.65e-06 |   1.07e-04 |        27.07 |     4.17 |      41s | Model saved         
    4350 |     3.92e-05 |     2.95e-05 |     2.94e-06 |     6.76e-06 |   1.07e-04 |        27.07 |     2.61 |      38s | Model saved (best)  
    4400 |     1.49e-04 |     1.32e-04 |     5.35e-06 |     1.14e-05 |   1.07e-04 |        27.07 |     2.53 |      35s | Model saved         
    4450 |     1.85e-04 |     1.72e-04 |     4.92e-06 |     7.84e-06 |   1.07e-04 |        27.07 |     2.49 |      32s | Model saved         
    4500 |     5.18e-05 |     3.86e-05 |     5.04e-06 |     8.20e-06 |   8.59e-05 |        27.07 |     2.73 |      29s | Model saved         
    4550 |     4.34e-05 |     3.23e-05 |     3.13e-06 |     8.00e-06 |   8.59e-05 |        27.07 |     2.50 |      26s | Model saved         
    4600 |     5.22e-05 |     4.24e-05 |     3.16e-06 |     6.65e-06 |   8.59e-05 |        27.07 |     2.49 |      23s | Model saved         
    4650 |     4.39e-05 |     3.47e-05 |     3.17e-06 |     6.09e-06 |   8.59e-05 |        27.07 |     2.52 |      20s | Model saved         
    4700 |     4.20e-05 |     3.19e-05 |     3.51e-06 |     6.66e-06 |   8.59e-05 |        27.07 |     2.35 |      17s | Model saved         
    4750 |     3.90e-05 |     2.95e-05 |     2.60e-06 |     6.90e-06 |   8.59e-05 |        27.07 |     2.39 |      14s | Model saved (best)  
    4800 |     6.31e-05 |     5.34e-05 |     3.22e-06 |     6.48e-06 |   8.59e-05 |        27.07 |     2.53 |      11s | Model saved         
    4850 |     5.01e-05 |     3.70e-05 |     4.47e-06 |     8.55e-06 |   8.59e-05 |        27.07 |     2.52 |       8s | Model saved         
    4900 |     1.04e-04 |     8.69e-05 |     6.17e-06 |     1.07e-05 |   8.59e-05 |        27.07 |     2.60 |       5s | Model saved         
    4950 |     7.84e-05 |     6.14e-05 |     6.67e-06 |     1.03e-05 |   8.59e-05 |        27.07 |     2.50 |       2s | Model saved         
    4999 |     4.09e-05 |     3.14e-05 |     3.14e-06 |     6.33e-06 |   6.87e-05 |        27.07 |     2.50 |       0s | Model saved         
-------------------------------------------------------------------------------------------------------------------------------------------
Training completed. Lowest loss: 0.000039. Total time: 288.76 seconds
Model saved to saved/almgren_NAISnet_Sine\model.pth
